iri,label,typeLabel,country
http://www.wikidata.org/entity/Q17596677,Castell de Sant Vicenç de Calders,castle,Spain
http://www.wikidata.org/entity/Q1012492,Burg Horkheim,castle,Germany
http://www.wikidata.org/entity/Q4820045,Audley's Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1012456,Hohlenfels Castle,castle,Germany
http://www.wikidata.org/entity/Q1012671,Burg Kirnberg,castle,Germany
http://www.wikidata.org/entity/Q2293026,Château du Vignault,castle,France
http://www.wikidata.org/entity/Q52852383,Castillo de Villalpando,castle,Spain
http://www.wikidata.org/entity/Q2967809,Château-ferme de Brieulles-sur-Bar,castle,France
http://www.wikidata.org/entity/Q652448,Husen Castle,castle,Germany
http://www.wikidata.org/entity/Q1013055,Burg Lürken,castle,Germany
http://www.wikidata.org/entity/Q98273065,Cultural heritage D-3-6840-0039 in Falkenstein (Oberpfalz),castle | feature | Bodendenkmal,Germany
http://www.wikidata.org/entity/Q4215383,Listowel Castle,castle,Ireland
http://www.wikidata.org/entity/Q2179330,Röderburg,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q22969963,Castle of Villagarcía de la Torre,castle,Spain
http://www.wikidata.org/entity/Q2971306,Château de la Mosson,castle,France
http://www.wikidata.org/entity/Q83719275,Château fort de La Sauvetat,castle,France
http://www.wikidata.org/entity/Q2970374,Château de Rioux,castle,France
http://www.wikidata.org/entity/Q108441190,Rittergut Helmern,manor estate | castle | château | architectural structure,Germany
http://www.wikidata.org/entity/Q127223871,Zucco della Rocca,castle | fortification | historic building | monument | scenic viewpoint | archaeological site,Italy
http://www.wikidata.org/entity/Q27670162,Castello  di Gardolo,castle,Italy
http://www.wikidata.org/entity/Q1318314,Château d'Ainay-le-Vieil,castle | château,France
http://www.wikidata.org/entity/Q113997062,Castello Frattolillo,castle,Italy
http://www.wikidata.org/entity/Q1013269,Burg Neuenstein (Saasen),castle,Germany
http://www.wikidata.org/entity/Q16538110,Marcaria Castle,castle,Italy
http://www.wikidata.org/entity/Q16048492,Nahavand Castle,destroyed building or structure | castle,Iran
http://www.wikidata.org/entity/Q113551099,Castello Caracciolo,castle,Italy
http://www.wikidata.org/entity/Q3662781,Castello Visconteo,castle,Italy
http://www.wikidata.org/entity/Q99939547,Ain Al-Hawas Palace,castle | palace | archaeological site,Saudi Arabia
http://www.wikidata.org/entity/Q105621841,Al Dhafra Castle,castle,United Arab Emirates
http://www.wikidata.org/entity/Q98276123,Cultural heritage D-3-6938-0055 in Regensburg,castle | château | feature | Bodendenkmal,Germany
http://www.wikidata.org/entity/Q24936766,castello Dentice di Frasso di Carovigno,castle,Italy
http://www.wikidata.org/entity/Q1015693,Burgstall Bobingen,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q20816698,Eilean Donan Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q2085724,Anvaing Castle,castle | château,Belgium
http://www.wikidata.org/entity/Q1460819,Jagdschloss Kranichstein,castle | architectural structure | hunting lodge,Germany
http://www.wikidata.org/entity/Q24661690,Castell Waun-Withan,castle,United Kingdom
http://www.wikidata.org/entity/Q1013259,Neuburg Castle,castle | castle ruin,Switzerland
http://www.wikidata.org/entity/Q33299792,Castello di Torcrescenza,castle,Italy
http://www.wikidata.org/entity/Q24660323,Cae Gawr,castle | field,United Kingdom
http://www.wikidata.org/entity/Q42584060,Fathabad Castle,castle | cultural property,Iran
http://www.wikidata.org/entity/Q4788169,Ardley Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1012979,Burg Lindenberg,castle,Germany
http://www.wikidata.org/entity/Q8342583,Castell d'Ulldecona,castle,Spain
http://www.wikidata.org/entity/Q64004247,Burg Unterschneidheim,architectural structure | castle,Germany
http://www.wikidata.org/entity/Q3662431,Castello della Brina,castle,Italy
http://www.wikidata.org/entity/Q20828798,Tukums Castle,castle,Latvia
http://www.wikidata.org/entity/Q821621,Castle of Pambre,monument | castle,Spain
http://www.wikidata.org/entity/Q18736780,Château de Charousse,castle,France
http://www.wikidata.org/entity/Q24659816,Waun Ddu,castrum | castle | castellum | mound,United Kingdom
http://www.wikidata.org/entity/Q5891898,Tempi Castle,castle,Iran
